City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baukau,51.5526,7.2042,290.88,65,0,2.68,DE,1691611923
83,kolwezi,-10.7148,25.4667,290.94,36,0,2.63,CD,1691611924
84,qamdo,31.1667,97.2333,281.32,69,100,0.84,CN,1691611924
85,tucumcari,35.1717,-103.725,307.56,23,0,0.0,US,1691611924
86,selfoss,63.9331,-20.9971,286.51,71,100,3.5,IS,1691611855
87,carolina,18.3808,-65.9574,306.88,75,20,8.75,PR,1691611925
88,moab,38.5733,-109.5498,308.49,17,0,4.44,US,1691611902
89,sur,22.5667,59.5289,304.78,56,99,2.69,OM,1691611700
90,prince rupert,54.3161,-130.3201,288.2,88,100,5.66,CA,1691611926
91,crane,31.3974,-102.3501,312.97,16,0,2.37,US,1691611841
92,srivardhan,18.0333,73.0167,299.42,85,100,2.2,IN,1691611573
93,lalago,-3.45,33.95,296.15,45,27,4.59,TZ,1691611927
94,charo,19.75,-101.05,299.66,41,75,1.03,MX,1691611927
95,moose jaw,50.4001,-105.5344,287.3,82,100,6.17,CA,1691611927
96,nagqu,31.5,92.0,279.66,80,100,1.75,CN,1691611625
97,kinablangan,7.6947,126.5503,298.5,85,100,2.16,PH,1691611928
98,susuman,62.7833,148.1667,279.88,90,92,1.0,RU,1691611845
99,road town,18.4167,-64.6167,305.2,70,40,5.66,VG,1691611929
100,la passe,45.5549,-0.8967,301.28,44,0,4.65,FR,1691611840
101,east london,-33.0153,27.9116,290.5,78,72,7.71,ZA,1691611864
102,lampertheim,49.6019,8.4719,291.66,75,40,1.54,DE,1691611929
103,ribeira grande,38.5167,-28.7,299.37,73,20,6.17,PT,1691611851
104,olonkinbyen,70.9221,-8.7187,279.09,99,100,3.92,SJ,1691611838
105,narvik,68.4384,17.4272,292.49,57,0,2.45,NO,1691611864
106,tiksi,71.6872,128.8694,288.65,54,8,3.37,RU,1691611844
107,lame,10.4415,9.2396,294.1,94,83,0.54,NG,1691611932
108,neiafu,-18.65,-173.9833,297.53,94,20,0.0,TO,1691611932
109,cole harbour,44.6724,-63.4751,292.81,97,100,2.57,CA,1691611845
110,runka,12.4479,7.3092,298.55,76,31,2.47,NG,1691611933
111,ostersund,63.1792,14.6357,285.16,82,8,5.66,SE,1691611933
112,douglas,41.3,-96.167,299.59,73,40,2.06,US,1691611934
113,san clemente del tuyu,-36.3569,-56.7235,285.92,87,84,3.47,AR,1691611934
